hosp_inz_entries,death_inz_entries,testPositvity,googleMobility
6.200000000000001,1.7714285714285716,0.3194486188150448,-7.5
4.428571428571429,3.542857142857143,0.3654113517342995,-5.833333333333334
1.7714285714285716,2.6571428571428575,0.3396010276046476,-5.690476190476191
2.6571428571428575,3.542857142857143,0.5538867418903619,-8.5
2.6571428571428575,3.542857142857143,0.5117098711420626,-6.761904761904762
3.542857142857143,5.314285714285715,0.5151415960475743,-7.880952380952381
2.6571428571428575,5.314285714285715,0.49813361270845585,-8.619047619047619
3.542857142857143,4.428571428571429,0.4890633179238754,-8.880952380952381
3.542857142857143,2.6571428571428575,0.45100332056693077,-9.642857142857142
3.542857142857143,2.6571428571428575,0.4500756767821441,-10.285714285714286
2.6571428571428575,2.6571428571428575,0.23578996249642983,-9.738095238095239
2.6571428571428575,2.6571428571428575,0.24319736990383722,-10.357142857142858
3.542857142857143,0.8857142857142858,0.22671555292712386,-9.619047619047619
3.542857142857143,1.7714285714285716,0.2178236240625548,-9.047619047619047
1.7714285714285716,1.7714285714285716,0.21310461934355004,-8.333333333333334
1.7714285714285716,2.6571428571428575,0.20464165969160417,-8.166666666666666
1.7714285714285716,3.542857142857143,0.2077175311885283,-7.452380952380952
2.6571428571428575,2.6571428571428575,0.23628895975995687,-6.690476190476191
2.6571428571428575,2.6571428571428575,0.20003001173630297,-7.404761904761905
1.7714285714285716,2.6571428571428575,0.17391815189802803,-7.190476190476191
1.7714285714285716,2.6571428571428575,0.19372607506729572,-6.761904761904762
2.6571428571428575,2.6571428571428575,0.21017730890983394,-7.714285714285715
3.542857142857143,1.7714285714285716,0.20187053792557816,-8.380952380952381
3.542857142857143,0.8857142857142858,0.21106017869416632,-9.30952380952381
3.542857142857143,0.8857142857142858,0.1967744644084521,-10.404761904761907
4.428571428571429,2.6571428571428575,0.20657838597707948,-10.166666666666668
3.542857142857143,2.6571428571428575,0.205586322485016,-10.595238095238097
3.542857142857143,1.7714285714285716,0.19407402525843304,-11.023809523809524
2.6571428571428575,1.7714285714285716,0.17160416775021234,-10.30952380952381
1.7714285714285716,1.7714285714285716,0.1706967267338784,-9.61904761904762
2.6571428571428575,1.7714285714285716,0.13895069498784665,-9.571428571428571
1.7714285714285716,1.7714285714285716,0.15323640927356094,-10.571428571428571
0.8857142857142858,0.0,0.13502912636039568,-10.595238095238093
0.8857142857142858,0.8857142857142858,0.141378332709602,-10.95238095238095
1.7714285714285716,0.8857142857142858,0.12711189739053513,-11.30952380952381
1.7714285714285716,0.8857142857142858,0.1208818191523433,-11.190476190476192
1.7714285714285716,0.8857142857142858,0.12805885264516628,-12.071428571428571
0.8857142857142858,0.8857142857142858,0.14486557533424188,-12.761904761904761
1.7714285714285716,0.8857142857142858,0.11629414676281333,-13.095238095238097
1.7714285714285716,0.8857142857142858,0.16929996447451343,-13.095238095238097
