modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[90, 45]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0886506877121565,0.16749741348257152,0.11006964252177773,0.29486081431340805,0.19459457048189643,0.4319441399068435,Keras,True,"[90, 45]",2.0,False,0.0,0.0001,0.0,0.0001,38.0,12465,,,,91.0,173.0,24.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.088843381443515,0.1675350187652211,0.11006964252177773,0.29486081431340805,0.19284391765025513,0.43181660419906515,Keras,True,"[200, 200]",2.0,False,0.0,0.0001,0.0,0.0001,25.0,12452,,,,96.0,174.0,25.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.001/dropoutValue=0/learningRate=0.0001,10,0.0912777098821621,0.1661191839774866,0.11006964252177773,0.29486081431340805,0.17072766122500635,0.4366183096784158,Keras,True,[400],1.0,False,0.0,0.001,0.0,0.0001,33.0,12514,,,,176.0,126.0,26.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001,10,0.0853726837419254,0.1676654991640419,0.11006964252177773,0.29486081431340805,0.22437575169707608,0.4313740889766724,Keras,True,[1000],1.0,False,0.0,0.0001,0.2,0.0001,25.0,14896,,,,29.0,178.0,27.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500, 250]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.0915042136243047,0.16616363373153786,0.11006964252177773,0.29486081431340805,0.16866983913207292,0.4364675614206157,Keras,True,"[1000, 500, 250]",3.0,False,0.0,0.0,0.0,0.001,12.0,3038,,,,184.0,127.0,28.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.2/learningRate=0.001",10,0.0904192447271909,0.1678042547209992,0.11006964252177773,0.29486081431340805,0.17852695206763222,0.4309035091294302,Keras,True,"[1000, 500]",2.0,False,0.0,0.0,0.2,0.001,12.0,5471,,,,144.0,186.0,29.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175, 85]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.087399134506978,0.16786777905922218,0.11006964252177773,0.29486081431340805,0.20596512803531883,0.4306880707424377,Keras,True,"[350, 175, 85]",3.0,False,0.0,0.0001,0.0,0.0001,17.0,12483,,,,57.0,191.0,30.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001,10,0.0911866071218195,0.16816332153211833,0.11006964252177773,0.29486081431340805,0.17155534411972076,0.4296857589446346,Keras,True,[200],1.0,False,0.0,0.0001,0.2,0.0001,53.0,14889,,,,172.0,197.0,31.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.3/learningRate=0.0001",10,0.090686943815131,0.1681808551013278,0.11006964252177773,0.29486081431340805,0.17609486378418812,0.42962629506080086,Keras,True,"[1000, 500]",2.0,False,0.0,0.0,0.3,0.0001,15.0,17711,,,,152.0,198.0,32.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,0.0917326260467604,0.1606351299552458,0.11006964252177773,0.29486081431340805,0.16659467637854167,0.4552170985171789,Keras,True,[500],1.0,False,0.0,0.0001,0.3,0.0001,28.0,17343,,,,198.0,19.0,32.0
