modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[100]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0/learningRate=0.0001,10,1.802936353081916,2.7386594074402684,2.217556984171578,3.827809465826908,0.18697180458005394,0.2845361212751362,Keras,True,[100],1.0,False,0.01,0.001,0.0,0.0001,55.0,11281,,,,239.0,470.0,24.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[175]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.3/learningRate=0.0001,10,1.8540277024217142,2.704807181643408,2.217556984171578,3.827809465826908,0.16393232929059048,0.2933798806364835,Keras,True,[175],1.0,False,0.01,0.0,0.3,0.0001,50.0,16452,,,,473.0,258.0,25.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,1.8547505231300774,2.7315271891235864,2.217556984171578,3.827809465826908,0.1636063756787904,0.2863993849460048,Keras,True,[400],1.0,False,0.01,0.0001,0.3,0.0001,46.0,16118,,,,475.0,428.0,26.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[175]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.7172639634509905,2.7404055670386644,2.217556984171578,3.827809465826908,0.22560548580783554,0.2840799440244175,Keras,True,[175],1.0,False,0.01,0.001,0.5,0.0001,106.0,18628,,,,25.0,485.0,27.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[350]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8102410183705666,2.740686308614653,2.217556984171578,3.827809465826908,0.18367778988695263,0.2840066014041813,Keras,True,[350],1.0,False,0.01,0.001,0.5,0.0001,59.0,18633,,,,270.0,486.0,28.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001,10,1.8370162908402095,2.7408630456389496,2.217556984171578,3.827809465826908,0.17160356917435823,0.28396042955945544,Keras,True,[400],1.0,False,0.01,0.0,0.5,0.0001,62.0,18906,,,,393.0,488.0,29.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.3/learningRate=0.001,10,1.7681142822792075,2.741462288361799,2.217556984171578,3.827809465826908,0.2026747024317261,0.28380387978126,Keras,True,[500],1.0,False,0.01,0.01,0.3,0.001,35.0,6463,,,,112.0,493.0,30.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8082689265709424,2.7414684211339786,2.217556984171578,3.827809465826908,0.18456709817246708,0.28380227761891774,Keras,True,[400],1.0,False,0.01,0.001,0.5,0.0001,69.0,18634,,,,262.0,494.0,31.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[225]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.0001,10,1.8585549774735406,2.716755398336746,2.217556984171578,3.827809465826908,0.16189076955429463,0.2902584565426234,Keras,True,[225],1.0,False,0.01,0.01,0.2,0.0001,67.0,13802,,,,495.0,330.0,32.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[225]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001,10,1.857586607634877,2.742163185695042,2.217556984171578,3.827809465826908,0.16232745273564037,0.283620773140373,Keras,True,[225],1.0,False,0.01,0.0,0.5,0.0001,106.0,18902,,,,490.0,498.0,33.0
