modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.3/learningRate=0.001",10,25.216114705002376,26.850041907647732,34.24296712938899,47.30958968594186,0.2636118648912093,0.432460900931756,Keras,True,"[400, 200]",2.0,False,0.001,0.0,0.3,0.001,14.0,6285,,,,771.0,1046.0,35.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500, 250]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.5/learningRate=0.0001",10,25.305761575741727,26.850884468035396,34.24296712938899,47.30958968594186,0.2609939004373518,0.4324430914264684,Keras,True,"[1000, 500, 250]",3.0,False,0.01,0.01,0.5,0.0001,65.0,18746,,,,922.0,1049.0,36.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.01/dropoutValue=0.3/learningRate=0.001",10,25.37897658080545,25.70854332085675,34.24296712938899,47.30958968594186,0.2588557970192959,0.4565891716347712,Keras,True,"[125, 125]",2.0,False,0.0001,0.01,0.3,0.001,13.0,5650,,,,1050.0,260.0,37.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250, 125]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001",10,25.200950716225208,26.856735958597902,34.24296712938899,47.30958968594186,0.26405470002053294,0.432319406342718,Keras,True,"[500, 250, 125]",3.0,False,0.001,0.0001,0.5,0.0001,22.0,18201,,,,756.0,1052.0,38.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001",10,24.983801746194384,26.865112208111597,34.24296712938899,47.30958968594186,0.2703961180761095,0.4321423545109583,Keras,True,"[350, 350]",2.0,False,0.01,0.0001,0.5,0.0001,35.0,18575,,,,469.0,1060.0,39.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.385216165011613,25.908129518937805,34.24296712938899,47.30958968594186,0.25867358196233,0.4523704455919968,Keras,True,"[350, 350]",2.0,False,0.0001,0.0,0.5,0.0001,25.0,18099,,,,1068.0,366.0,40.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001",10,25.1315644513559,26.93011810712637,34.24296712938899,47.30958968594186,0.26608099244452554,0.4307683011859072,Keras,True,"[350, 175]",2.0,False,0.01,0.0001,0.3,0.0001,25.0,16144,,,,641.0,1130.0,41.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.3/learningRate=0.0001",10,25.41380721641913,26.646647200680476,34.24296712938899,47.30958968594186,0.257838635291398,0.43676012881171566,Keras,True,"[350, 350]",2.0,False,0.0001,0.001,0.3,0.0001,22.0,15379,,,,1131.0,835.0,42.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.01/dropoutValue=0.2/learningRate=0.001",10,25.33760321676424,26.935496725815803,34.24296712938899,47.30958968594186,0.26006402654814714,0.43065461136688443,Keras,True,"[200, 100]",2.0,False,0.001,0.01,0.2,0.001,23.0,3629,,,,980.0,1137.0,43.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.1/dropoutValue=0.3/learningRate=0.0001",10,24.68186425027849,26.947139711245992,34.24296712938899,47.30958968594186,0.2792136219674927,0.43040850935020075,Keras,True,"[400, 200, 50]",3.0,False,0.0,0.1,0.3,0.0001,26.0,17587,,,,199.0,1152.0,44.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.01/dropoutValue=0.3/learningRate=0.0001",10,25.426756286775124,26.755534809032454,34.24296712938899,47.30958968594186,0.25746048259490223,0.43445853184004857,Keras,True,"[200, 200]",2.0,False,0.001,0.01,0.3,0.0001,33.0,15852,,,,1156.0,950.0,45.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250, 125]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.0001/alpha=0.01/dropoutValue=0.5/learningRate=0.0001",10,25.136889017277294,26.97401837800554,34.24296712938899,47.30958968594186,0.26592549873683147,0.4298403651972293,Keras,True,"[500, 250, 125]",3.0,False,0.0001,0.01,0.5,0.0001,26.0,17929,,,,650.0,1175.0,46.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200, 100]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.01/dropoutValue=0.2/learningRate=0.0001",10,25.397162789901564,26.974328132876366,34.24296712938899,47.30958968594186,0.2583247037577979,0.4298338177958909,Keras,True,"[400, 200, 100]",3.0,False,0.0,0.01,0.2,0.0001,17.0,15069,,,,1101.0,1176.0,47.0
