date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2021-02-17,CHFL,pfizer_biontech,NA,vaccine_type,8644780,350398,NA,NA,4.05,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-18,CHFL,pfizer_biontech,NA,vaccine_type,8644780,363242,NA,NA,4.2,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-19,CHFL,pfizer_biontech,NA,vaccine_type,8644780,375043,NA,NA,4.34,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-20,CHFL,pfizer_biontech,NA,vaccine_type,8644780,377463,NA,NA,4.37,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-21,CHFL,pfizer_biontech,NA,vaccine_type,8644780,379224,NA,NA,4.39,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-22,CHFL,pfizer_biontech,NA,vaccine_type,8644780,387968,NA,NA,4.49,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-23,CHFL,pfizer_biontech,NA,vaccine_type,8644780,398141,NA,NA,4.61,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-24,CHFL,pfizer_biontech,NA,vaccine_type,8644780,411015,NA,NA,4.75,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-25,CHFL,pfizer_biontech,NA,vaccine_type,8644780,421667,NA,NA,4.88,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-26,CHFL,pfizer_biontech,NA,vaccine_type,8644780,430243,NA,NA,4.98,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-27,CHFL,pfizer_biontech,NA,vaccine_type,8644780,432728,NA,NA,5.01,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-28,CHFL,pfizer_biontech,NA,vaccine_type,8644780,434496,NA,NA,5.03,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-01,CHFL,pfizer_biontech,NA,vaccine_type,8644780,443179,NA,NA,5.13,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-02,CHFL,pfizer_biontech,NA,vaccine_type,8644780,453191,NA,NA,5.24,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-03,CHFL,pfizer_biontech,NA,vaccine_type,8644780,469358,NA,NA,5.43,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-04,CHFL,pfizer_biontech,NA,vaccine_type,8644780,482788,NA,NA,5.58,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-05,CHFL,pfizer_biontech,NA,vaccine_type,8644780,495657,NA,NA,5.73,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-06,CHFL,pfizer_biontech,NA,vaccine_type,8644780,498056,NA,NA,5.76,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-07,CHFL,pfizer_biontech,NA,vaccine_type,8644780,499626,NA,NA,5.78,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-08,CHFL,pfizer_biontech,NA,vaccine_type,8644780,511033,NA,NA,5.91,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-09,CHFL,pfizer_biontech,NA,vaccine_type,8644780,524590,NA,NA,6.07,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-10,CHFL,pfizer_biontech,NA,vaccine_type,8644780,540557,NA,NA,6.25,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-11,CHFL,pfizer_biontech,NA,vaccine_type,8644780,555159,NA,NA,6.42,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-12,CHFL,pfizer_biontech,NA,vaccine_type,8644780,567732,NA,NA,6.57,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-13,CHFL,pfizer_biontech,NA,vaccine_type,8644780,569382,NA,NA,6.59,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-14,CHFL,pfizer_biontech,NA,vaccine_type,8644780,570947,NA,NA,6.6,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-15,CHFL,pfizer_biontech,NA,vaccine_type,8644780,581756,NA,NA,6.73,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-16,CHFL,pfizer_biontech,NA,vaccine_type,8644780,596657,NA,NA,6.9,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-17,CHFL,pfizer_biontech,NA,vaccine_type,8644780,617135,NA,NA,7.14,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-18,CHFL,pfizer_biontech,NA,vaccine_type,8644780,635832,NA,NA,7.36,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-19,CHFL,pfizer_biontech,NA,vaccine_type,8644780,653055,NA,NA,7.55,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-20,CHFL,pfizer_biontech,NA,vaccine_type,8644780,656864,NA,NA,7.6,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-21,CHFL,pfizer_biontech,NA,vaccine_type,8644780,658320,NA,NA,7.62,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-22,CHFL,pfizer_biontech,NA,vaccine_type,8644780,672106,NA,NA,7.77,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-23,CHFL,pfizer_biontech,NA,vaccine_type,8644780,687563,NA,NA,7.95,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-24,CHFL,pfizer_biontech,NA,vaccine_type,8644780,707466,NA,NA,8.18,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-25,CHFL,pfizer_biontech,NA,vaccine_type,8644780,719898,NA,NA,8.33,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-26,CHFL,pfizer_biontech,NA,vaccine_type,8644780,733679,NA,NA,8.49,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-27,CHFL,pfizer_biontech,NA,vaccine_type,8644780,736843,NA,NA,8.52,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-03-28,CHFL,pfizer_biontech,NA,vaccine_type,8644780,740064,NA,NA,8.56,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
