geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d,nachweismethode,type_variant
GL,202107,150,4,146,2042,1,100,2.7,2.2,9.5,40590,369.55,5030.8,-41,-101.01,0,-21.5,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
GR,202107,1818,41,1777,39092,1,100,2.3,-1.1,6.1,199021,913.47,19642.15,159,79.89,0,9.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
JU,202107,312,16,296,4744,1,100,5.1,-4,16.7,73584,424.01,6447.05,26,35.34,0,9.1,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
LU,202107,1068,48,1020,26393,1,100,4.5,1.4,9.2,413120,258.52,6388.7,-231,-55.92,0,-17.8,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
NE,202107,1359,76,1283,11801,1,100,5.6,0.2999999999999998,11.5,176496,769.99,6686.27,77,43.63,0,6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
NW,202107,185,7,178,3146,1,100,3.8,1.5,9.1,43087,429.36,7301.51,-37,-85.88,0,-16.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
OW,202107,202,6,196,1964,1,100,3,-3.7,9.8,37930,532.56,5177.96,-21,-55.37,0,-9.4,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
SG,202107,2265,87,2178,39023,1,100,3.8,-1.2000000000000002,15.9,510734,443.48,7640.57,-159,-31.13,0,-6.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
SH,202107,293,5,288,6403,1,100,1.7,0.3999999999999999,8.9,82348,355.81,7775.54,-10,-12.14,0,-3.3,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
SO,202107,991,41,950,14189,1,100,4.1,1.1999999999999997,9.2,275247,360.04,5155.01,-76,-27.61,0,-7.1,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
SZ,202107,583,26,557,10019,1,100,4.5,0.2999999999999998,14,160480,363.29,6243.15,-108,-67.29,0,-15.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
TG,202107,1910,59,1851,24142,1,100,3.1,-0.19999999999999973,9.5,279547,683.25,8636.11,165,59.03,0,9.5,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
TI,202107,1853,27,1826,18423,1,100,1.5,-0.10000000000000009,8.8,351491,527.18,5241.39,-343,-97.59,0,-15.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
UR,202107,125,1,124,970,1,100,0.8,-1.4000000000000001,5.2,36703,340.57,2642.84,-13,-35.42,0,-9.4,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
VD,202107,7005,456,6549,80383,1,100,6.5,-0.2999999999999998,12.3,805098,870.08,9984.25,70,8.69,0,1,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
VS,202107,2674,121,2553,30091,1,100,4.5,-0.09999999999999964,12.3,345525,773.89,8708.78,-218,-63.1,0,-7.5,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
ZG,202107,754,34,720,8937,1,100,4.5,-1.2000000000000002,10.5,127642,590.71,7001.61,-102,-79.92,0,-11.9,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
ZH,202107,10355,276,10079,160782,1,100,2.7,-0.2999999999999998,9.1,1539275,672.72,10445.31,-1649,-107.13,0,-13.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
AG,202107,6296,374,5922,256004,1,100,5.9,0,12.3,685845,917.99,37326.8,-1007,-146.83,0,-13.8,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
AI,202107,212,8,204,4636,1,100,3.8,-0.5,15.8,16128,1314.48,28745.04,-69,-427.83,0,-24.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
AR,202107,513,26,487,17735,1,100,5.1,1.5999999999999996,13.2,55445,925.24,31986.65,-55,-99.2,0,-9.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
BE,202107,12471,481,11990,401280,1,100,3.9,-0.8999999999999999,11.5,1039474,1199.74,38604.14,-1607,-154.6,0,-11.4,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
BL,202107,6097,169,5928,141055,1,100,2.8,0.2999999999999998,7.6,289468,2106.28,48729.05,-2112,-729.61,0,-25.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
BS,202107,4100,101,3999,115943,1,100,2.5,0.2999999999999998,7.7,195844,2093.5,59201.71,-1651,-843.02,0,-28.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
FL,202107,756,19,737,26682,1,100,2.5,0.2999999999999998,9.7,38747,1951.12,68862.11,-161,-415.51,0,-17.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
FR,202107,3344,207,3137,123858,1,100,6.2,-0.2999999999999998,18.9,321783,1039.21,38491.16,-1006,-312.63,0,-23.1,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
