geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-03-21,118,1214,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,757,1069,137.71,138.14,TRUE,1,8606033,1.37,1.6,1.61,14.11,NA,NA,NA,NA,NA,NA,8.8,12.42,53,0.620000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,118,0,5
CH,2020-03-22,136,1350,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,837,1187,150.14,142.86,TRUE,1,8606033,1.58,1.74,1.66,15.69,NA,NA,NA,NA,NA,NA,9.73,13.79,80,0.9299999999999997,COVID19Hosp,,2021-06-25_07-49-37,day,136,0,5
CH,2020-03-23,164,1514,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,881,1322,158.14,146.07,TRUE,1,8606033,1.91,1.84,1.7,17.59,NA,NA,NA,NA,NA,NA,10.24,15.36,44,0.5099999999999998,COVID19Hosp,,2021-06-25_07-49-37,day,164,0,5
CH,2020-03-24,181,1695,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,964,1461,167.57,148,TRUE,1,8606033,2.1,1.95,1.72,19.7,NA,NA,NA,NA,NA,NA,11.2,16.98,83,0.9599999999999991,COVID19Hosp,,2021-06-25_07-49-37,day,181,0,5
CH,2020-03-25,199,1894,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1051,1611,168.14,146.93,TRUE,1,8606033,2.31,1.95,1.71,22.01,NA,NA,NA,NA,NA,NA,12.21,18.72,87,1.0100000000000016,COVID19Hosp,,2021-06-25_07-49-37,day,199,0,5
CH,2020-03-26,166,2060,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1107,1725,166.14,145.86,TRUE,1,8606033,1.93,1.93,1.69,23.94,NA,NA,NA,NA,NA,NA,12.86,20.04,56,0.6499999999999986,COVID19Hosp,,2021-06-25_07-49-37,day,166,0,5
CH,2020-03-27,209,2269,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1173,1877,166.29,141,TRUE,1,8606033,2.43,1.93,1.64,26.37,NA,NA,NA,NA,NA,NA,13.63,21.81,66,0.77000000000000135,COVID19Hosp,,2021-06-25_07-49-37,day,209,0,5
CH,2020-03-28,122,2391,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1177,1934,158.29,136.71,TRUE,1,8606033,1.42,1.84,1.59,27.78,NA,NA,NA,NA,NA,NA,13.68,22.47,4,0.049999999999998934,COVID19Hosp,,2021-06-25_07-49-37,day,122,0,5
CH,2020-03-29,122,2513,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1163,2000,143.71,130.57,TRUE,1,8606033,1.42,1.67,1.52,29.2,NA,NA,NA,NA,NA,NA,13.51,23.24,-14,-0.16999999999999993,COVID19Hosp,,2021-06-25_07-49-37,day,122,0,5
CH,2020-03-30,165,2678,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1164,2045,133.57,123.93,TRUE,1,8606033,1.92,1.55,1.44,31.12,NA,NA,NA,NA,NA,NA,13.53,23.76,1,0.019999999999999574,COVID19Hosp,,2021-06-25_07-49-37,day,165,0,5
