geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH01,202020,7,716,1,100,1654751,0.42,43.27,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-13,-0.79,-65,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH02,202020,3,248,1,100,1886584,0.16,13.15,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-4,-0.21,-57.1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH03,202020,3,131,1,100,1171157,0.26,11.19,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-2,-0.17,-40,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH04,202020,1,124,1,100,1539275,0.06,8.06,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-2,-0.13,-66.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH05,202020,2,116,1,100,1183813,0.17,9.8,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-2,-0.17,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202020,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-1,-0.12,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202020,2,309,1,100,351491,0.57,87.91,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-20,-12,-3.41,-85.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH01,202021,6,722,1,100,1654751,0.36,43.63,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,-1,-0.06,-14.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH02,202021,2,250,1,100,1886584,0.11,13.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,-1,-0.05,-33.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH03,202021,0,131,NA,NA,1171157,0,11.19,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,-3,-0.26,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH04,202021,3,127,1,100,1539275,0.19,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,2,0.13,200,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH05,202021,1,117,1,100,1183813,0.08,9.88,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,-1,-0.09,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202021,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202021,2,311,1,100,351491,0.57,88.48,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-21,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH01,202022,1,723,1,100,1654751,0.06,43.69,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,-5,-0.3,-83.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH02,202022,1,251,1,100,1886584,0.05,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,-1,-0.06,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH03,202022,1,132,1,100,1171157,0.09,11.27,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,1,0.09,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH04,202022,0,127,NA,NA,1539275,0,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,-3,-0.19,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH05,202022,0,117,NA,NA,1183813,0,9.88,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,-1,-0.08,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202022,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202022,1,312,1,100,351491,0.28,88.76,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-22,-1,-0.29,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH01,202023,0,723,NA,NA,1654751,0,43.69,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,-1,-0.06,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
