nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
all,CH05,202053,18514,3717,14797,396370,20.1,3.5,14.1,1,100,1183813,1563.93,33482.48,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-5150,-435.03,-21.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202053,12094,2511,9583,251873,20.8,4.699999999999999,13.7,1,100,818962,1476.75,30755.15,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-4001,-488.54,-24.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202053,7935,1709,6226,139188,21.5,2.8999999999999986,16,1,100,351491,2257.53,39599.31,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-1419,-403.7,-15.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202101,35711,4086,31625,829547,11.4,-1,15.8,1,100,1654751,2158.09,50131.23,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,4733,286.03,15.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202101,32181,4568,27613,674197,14.2,-1.4000000000000004,14.6,1,100,1886584,1705.78,35736.39,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,2710,143.64,9.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202101,22111,2936,19175,440760,13.3,-3.599999999999998,11.6,1,100,1171157,1887.96,37634.58,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,2448,209.02,12.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202101,31169,4584,26585,711934,14.7,-2.5,11.1,1,100,1539275,2024.91,46251.25,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,1162,75.49,3.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202101,22930,3869,19061,419300,16.9,-3.200000000000003,14.3,1,100,1183813,1936.96,35419.45,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,4416,373.03,23.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202101,13912,2674,11238,265785,19.2,-1.6000000000000014,13.9,1,100,818962,1698.74,32453.89,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,1818,221.99,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202101,8597,1323,7274,147785,15.4,-6.1,16,1,100,351491,2445.87,42045.17,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-01,662,188.34,8.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
