sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
male,CH,202021,5,2419,0.333,33.300000000000004,4268863,0.12,56.67,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-21,-8,-0.18,-61.5,-18.699999999999996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202021,10,1583,0.667,66.7,4337170,0.23,36.5,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-21,-2,-0.05,-16.7,18.700000000000003,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202021,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-21,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202022,10,2429,0.526,52.6,4268863,0.23,56.9,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-22,5,0.11,100,19.299999999999997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202022,9,1592,0.474,47.4,4337170,0.21,36.71,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-22,-1,-0.02,-10,-19.300000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202022,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-22,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202023,4,2433,0.8,80,4268863,0.09,56.99,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-23,-6,-0.14,-60,27.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202023,1,1593,0.2,20,4337170,0.02,36.73,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-23,-8,-0.19,-88.9,-27.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202023,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-23,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202024,4,2437,0.571,57.099999999999994,4268863,0.09,57.09,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-24,0,0,0,-22.900000000000006,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202024,3,1596,0.429,42.9,4337170,0.07,36.8,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-24,2,0.05,200,22.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202024,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-24,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202025,9,2446,0.529,52.900000000000006,4268863,0.21,57.3,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-25,5,0.12,125,-4.199999999999989,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202025,8,1604,0.471,47.099999999999994,4337170,0.18,36.98,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-25,5,0.11,166.7,4.199999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202025,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-25,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202026,9,2455,0.529,52.900000000000006,4268863,0.21,57.51,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-26,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202026,8,1612,0.471,47.099999999999994,4337170,0.18,37.17,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-26,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202026,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-26,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202027,22,2477,0.579,57.9,4268863,0.52,58.02,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-27,13,0.31,144.4,4.999999999999993,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202027,16,1628,0.421,42.1,4337170,0.37,37.54,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-27,8,0.19,100,-4.999999999999993,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202027,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-27,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202028,34,2511,0.618,61.8,4268863,0.8,58.82,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-28,12,0.28,54.5,3.8999999999999986,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202028,21,1649,0.382,38.2,4337170,0.48,38.02,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-28,5,0.11,31.2,-3.8999999999999986,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202028,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-28,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202029,24,2535,0.667,66.7,4268863,0.56,59.38,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-29,-10,-0.24,-29.4,4.900000000000006,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202029,12,1661,0.333,33.300000000000004,4337170,0.28,38.3,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-29,-9,-0.2,-42.9,-4.899999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202029,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-29,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202030,40,2575,0.69,69,4268863,0.94,60.32,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-30,16,0.38,66.7,2.299999999999997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202030,18,1679,0.31,31,4337170,0.42,38.71,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-30,6,0.14,50,-2.3000000000000043,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202030,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-30,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202031,35,2610,0.565,56.49999999999999,4268863,0.82,61.14,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-31,-5,-0.12,-12.5,-12.500000000000007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202031,27,1706,0.435,43.5,4337170,0.62,39.33,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-31,9,0.2,50,12.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202031,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-31,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202032,29,2639,0.592,59.199999999999996,4268863,0.68,61.82,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-32,-6,-0.14,-17.1,2.700000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202032,20,1726,0.408,40.8,4337170,0.46,39.8,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-32,-7,-0.16,-25.9,-2.700000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202032,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-32,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202033,22,2661,0.415,41.5,4268863,0.52,62.34,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-33,-7,-0.16,-24.1,-17.699999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202033,31,1757,0.585,58.5,4337170,0.71,40.51,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-33,11,0.25,55,17.700000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202033,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-33,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202034,29,2690,0.569,56.89999999999999,4268863,0.68,63.01,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-34,7,0.16,31.8,15.399999999999991,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202034,22,1779,0.431,43.1,4337170,0.51,41.02,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-34,-9,-0.2,-29,-15.399999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202034,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-34,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202035,25,2715,0.568,56.8,4268863,0.59,63.6,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-35,-4,-0.09,-13.8,-0.09999999999999432,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202035,19,1798,0.432,43.2,4337170,0.44,41.46,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-35,-3,-0.07,-13.6,0.10000000000000142,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202035,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-35,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202036,43,2758,0.589,58.9,4268863,1.01,64.61,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-36,18,0.42,72,2.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202036,30,1828,0.411,41.099999999999994,4337170,0.69,42.15,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-36,11,0.25,57.9,-2.1000000000000085,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202036,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-36,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202037,49,2807,0.49,49,4268863,1.15,65.76,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-37,6,0.14,14,-9.899999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202037,51,1879,0.51,51,4337170,1.18,43.32,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-37,21,0.49,70,9.900000000000006,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202037,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-37,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202038,59,2866,0.567,56.699999999999996,4268863,1.38,67.14,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-38,10,0.23,20.4,7.699999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202038,45,1924,0.433,43.3,4337170,1.04,44.36,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-38,-6,-0.14,-11.8,-7.700000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202038,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-38,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202039,58,2924,0.518,51.800000000000004,4268863,1.36,68.5,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-39,-1,-0.02,-1.7,-4.8999999999999915,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202039,54,1978,0.482,48.199999999999996,4337170,1.25,45.61,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-39,9,0.21,20,4.899999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
